abandon;opuszczać
abbey;opactwo
abroad;za granicą
accommodation;zakwaterowanie
actor;aktor
actress;aktorka
apple;jabłko
bad;zły
banana;banan
bed;łóżko
belt;pas
bright;jasny
complain;skarżyć się
contemporary;współczesny
cruel;okrutny
direction;kierunek
dive;nurkować
dolphin;delfin
domain;domena
eagle;orzeł
egde;krawędź
elephant;słoń
external;zewnętrzny
eyelash;rzęsa
face;twarz
factory;fabryka
failure;niepowodzenie
family;rodzina
fever;gorączka
garden;ogród
greet;przywitać się
guest;gość
hair;włosy
hat;czapka
head;głowa
hot;gorący
ice;lód
illness;choroba
inevitable;nieuchronny
jacket;kurtka
joke;żart
jungle;dżungla
kestrel;pustułka
key;klucz
kidnap;porywać
kidney;nerka
knot;węzeł
knowledge;wiedza
lamp;lampa
lark;skowronek
leaf;liść
lever;dźwignia
love;miłość
love;kochać
lynx;ryś
maggot;czerw
marigold;nagietek
maple;klon
manor;dwór
meadow;łąka
mercy;litość
mend;naprawiać (się)
milk;mleko
mill;młyn
mirror;lustro
mother;matka
moon;księżyc
narrow;wąski
neck;szyja
nest;gniazdo
new;nowy
night;noc
note;notatka
nutmeg;gałka muszkatołowa
oasis;oaza
oat;owies
oak;dąb
oboe;obój
onion;cebula
overload;przeciążać
owl;sowa
owner;właściciel
pear;gruszka
plane;samolot
pain;ból
parsley;pietruszka
pasta;makaron
pattern;wzór
peculiar;osobliwy
personality;osobowość
pumpkin;dynia
purity;czystość
quail;przepiórka
quarantine;kwarantanna
quilt;kołdra
quick;szybki
quotation;cytat
radish;rzodkiewka
raft;tratwa
rampart;wał
random;przypadkowy
ratio;proporcja
reason;powód
retrieve;odzyskać
retreat;wycofywać się
road;droga
riverside;pobrzeże
rust;rdza
sabotage;sabotaż
scorn;pogarda
seagull;mewa
serious;poważny
short;krótki
shore;brzeg
solve;rozwiązywać
supervisor;nadzorca
supply;zaopatrzenie
swarm;rój
swamp;moczary
swallow;połykać
swallow;jaskółka
tattoo;tatuaż
tease;drażnić
tetanus;tężec
textbook;podręcznik
tooth;ząb
tongue;język
train;pociąg
turtle;żółw
turf;darń
tulip;tulipan
underground;podziemny
understand;rozumieć
unknown;nieznany
unlock;otwierać
untie;rozwiązywać
unreal;nierealny
usual;zwyczajny
vacate;zwalniać
vehicle;pojazd
vase;wazon
verge;krawędź
verbal;werbalny
vertical;pionowy
voice;głos
vulnerable;wrażliwy
wait;czekać
wallet;portfel
want;chcieć
wax;wosk
watercolour;akwarela
week;tydzień
weed;chwast
wire;drut
wire;kabel
willow;wierzba
xenophobia;ksenofobia
Xerox;kserograf
xylophone;ksylofon
yacht;jacht
yawn;ziewać
yell;wrzeszczeć
yellow;żółty
yeast;drożdże
zebra;zebra
zinc;cynk
zone;strefa
zucchini;cukinia
